SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
48, 3.336282103629506e-04, 6.825404394139961e-02, -6.743156902502147e-02, 6.404086393196015e-03, 1.714767535524463e-02, 5.118399858470000e-01, -3.794204726755206e-02
49, 2.925486131936963e-04, 6.547084829695868e-02, -6.434477290297679e-02, 4.829891639826132e-03, 1.645588480820430e-02, 4.960500001910000e-01, -3.818038851003945e-02
50, 2.647955665599816e-04, 6.391228580649083e-02, -6.261430404930715e-02, 3.009161715490344e-03, 1.607033286866233e-02, 4.802699983120000e-01, -3.844449574261512e-02
51, 2.353040951952331e-04, 6.366714671280066e-02, -6.234703609208907e-02, 1.027966539775644e-03, 1.601648078403932e-02, 4.645099937920000e-01, -3.873697437901168e-02
52, 2.190455038552082e-04, 6.479007980488584e-02, -6.360400465830232e-02, -1.016535876075486e-03, 1.630741560681005e-02, 4.487800002100000e-01, -3.905883377142080e-02
53, 2.077344035561920e-04, 6.731005325287544e-02, -6.641853355499748e-02, -3.016086310588011e-03, 1.695371560395673e-02, 4.331099987030000e-01, -3.940891454278278e-02
54, 2.049389450823967e-04, 7.126836374096082e-02, -7.082856232915401e-02, -4.875237410791919e-03, 1.796002782589496e-02, 4.174999892710000e-01, -3.978494586605697e-02
55, 2.392705384346998e-04, 7.663906090882372e-02, -7.680108374759563e-02, -6.477434883748263e-03, 1.932902560842915e-02, 4.019699990750000e-01, -4.018255050907432e-02
56, 2.982806194771286e-04, 8.342989888125971e-02, -8.432707581086819e-02, -7.733883165208149e-03, 2.105174988527429e-02, 3.865399956700000e-01, -4.059579712266256e-02
57, 3.417619896806092e-04, 9.158185518968051e-02, -9.333113237649766e-02, -8.537943350462615e-03, 2.312390814149144e-02, 3.712300062180000e-01, -4.101742455114658e-02
58, 2.531145303338100e-04, 1.010824995128906e-01, -1.037768181836558e-01, -8.813053026255135e-03, 2.553168021363163e-02, 3.560400009160000e-01, -4.143967448892403e-02
59, 9.765343795340414e-05, 1.118607919722535e-01, -1.155706479790054e-01, -8.459534594559377e-03, 2.826844793434493e-02, 3.409900069240000e-01, -4.185344415826395e-02
60, 2.306945896008694e-04, 1.238926166845716e-01, -1.286581136277267e-01, -7.418329518318907e-03, 3.131519066274720e-02, 3.261100053790000e-01, -4.224885524476600e-02
61, 1.062249011666580e-03, 1.370662779118967e-01, -1.429031336550460e-01, -5.604849673866727e-03, 3.465994984852692e-02, 3.113999962810000e-01, -4.261660292401041e-02
62, 1.770087281934597e-03, 1.513824240949231e-01, -1.582656369328760e-01, -2.972461584445941e-03, 3.828362673086506e-02, 2.968699932100000e-01, -4.294705806602046e-02
63, 2.891120260971624e-04, 1.667799934088510e-01, -1.746570904037667e-01, 5.580101144838837e-04, 4.218853671684788e-02, 2.825500071050000e-01, -4.323036446910013e-02
