"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
28	8.046399950980000e-01	-2.704947220136176e-02	9.842406259126675e-01	9.451503948247484e-01	1.094815071313645e-01	2.906983068990530e+00	9.788350682992069e-01	9.945078901732511e-01	-4.724315111784184e-02	8.192675470764462e-01	
29	7.919700145720000e-01	-2.850294290760209e-02	9.800641265476645e-01	9.473015948003186e-01	1.076713345103172e-01	2.896301291247273e+00	9.730278730759988e-01	9.928206193032990e-01	-6.020564045535981e-02	8.251286918711469e-01	
30	7.790099978450000e-01	-2.996144625872546e-02	9.759191564901858e-01	9.493793221765785e-01	1.058302827435969e-01	2.885694427491779e+00	9.672702427494216e-01	9.911376739730480e-01	-7.305749386289813e-02	8.309532977036655e-01	
31	7.657799720760000e-01	-3.142129815995952e-02	9.717840364885841e-01	9.513829085381265e-01	1.039539954842026e-01	2.875103656241313e+00	9.615354081791047e-01	9.894538005105421e-01	-8.585846388592711e-02	8.367601615667920e-01	
32	7.522799968720000e-01	-3.288097044768860e-02	9.676249616251755e-01	9.533127765442890e-01	1.020329168730434e-01	2.864437963487136e+00	9.557809205705293e-01	9.877596780525864e-01	-9.870330229792562e-02	8.425817566649101e-01	
33	7.385200262070000e-01	-3.433774676585794e-02	9.634416223798473e-01	9.551878056950619e-01	1.000656131131343e-01	2.853701759425165e+00	9.500011476350931e-01	9.860495182764121e-01	-1.116045811716671e-01	8.484380270784443e-01	
34	7.245299816130000e-01	-3.578681196670078e-02	9.592406760837640e-01	9.570063986090652e-01	9.803960261995676e-02	2.842912084128914e+00	9.442053327181923e-01	9.843257862802947e-01	-1.245416680397494e-01	8.543205310655708e-01	
35	7.103199958800001e-01	-3.722547336924964e-02	9.550221442117739e-01	9.587523693903293e-01	9.595983564053048e-02	2.832064517193345e+00	9.383979809898046e-01	9.825929028737969e-01	-1.375045067191861e-01	8.602143079765822e-01	
36	6.958900094030001e-01	-3.865199824855568e-02	9.507938725052704e-01	9.604569215959288e-01	9.381284798402748e-02	2.821188589479771e+00	9.325805366725958e-01	9.808440752939609e-01	-1.504898734986702e-01	8.661425505179597e-01	
37	6.812700033190000e-01	-4.006165801433185e-02	9.465296560654352e-01	9.620819075919481e-01	9.159918944055570e-02	2.810203329261017e+00	9.267305139171694e-01	9.790823858276484e-01	-1.635479600063182e-01	8.720948422850137e-01	
38	6.664699912070000e-01	-4.145173143585310e-02	9.422342807422868e-01	9.636566241121322e-01	8.931449336450020e-02	2.799129981176959e+00	9.208455624643751e-01	9.772999998884975e-01	-1.766840123563056e-01	8.780976156400385e-01	
39	6.514999866490000e-01	-4.281945401879783e-02	9.378920585216474e-01	9.651778783386854e-01	8.694992565246398e-02	2.787925701346074e+00	9.149065896643139e-01	9.754924155200075e-01	-1.899406480707278e-01	8.841658047780263e-01	
40	6.363800168040000e-01	-4.416113621313505e-02	9.334997666634831e-01	9.666374600571314e-01	8.451003042089593e-02	2.776579859158896e+00	9.089115023628259e-01	9.736601280699400e-01	-2.033225393686922e-01	8.902974703106112e-01	
41	6.211299896240000e-01	-4.547315141595892e-02	9.290510004267516e-01	9.680478958946797e-01	8.197543274626297e-02	2.765078884122135e+00	9.028485852463638e-01	9.717965804155512e-01	-2.168558365036522e-01	8.965142021459351e-01	
42	6.057599782940000e-01	-4.675273044978961e-02	9.245408509676365e-01	9.693935496409861e-01	7.935379870643847e-02	2.753405621976474e+00	8.967156118216385e-01	9.699037212721585e-01	-2.305455093266998e-01	9.028090937222736e-01	
43	5.902799963950000e-01	-4.799704912947937e-02	9.199568775064413e-01	9.706920337957076e-01	7.662426090019926e-02	2.741532146092426e+00	8.904913923085083e-01	9.679707974162881e-01	-2.444388564542226e-01	9.092173884754154e-01	
44	5.747100114820000e-01	-4.920246155424841e-02	9.152807445032450e-01	9.719279166293481e-01	7.379904743294964e-02	2.729405913197379e+00	8.841560804900974e-01	9.659944075082232e-01	-2.585801774774611e-01	9.157496548307004e-01	
