SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
26, 1.007179846203684e-03, 1.074997843390457e-01, -1.461589876657375e-01, -1.236311406838894e-01, 2.792124321364378e-02, 8.290500044819999e-01, -2.825370671652566e-02
27, 1.021565123523593e-03, 1.161695991713007e-01, -1.557221259460565e-01, -1.210051419842757e-01, 3.009503959302957e-02, 8.170099854470000e-01, -2.975933529659635e-02
28, 9.144321347170735e-04, 1.248167656456101e-01, -1.652279036201048e-01, -1.183338363135630e-01, 3.225240671577369e-02, 8.046399950980000e-01, -3.126539785917710e-02
29, 7.545018641159074e-04, 1.334905596119685e-01, -1.747432668924323e-01, -1.155821762745933e-01, 3.442991718505397e-02, 7.919700145720000e-01, -3.276623564881004e-02
30, 5.943416756940884e-04, 1.423110799152995e-01, -1.843938185635332e-01, -1.127620618565519e-01, 3.663303945526757e-02, 7.790099978450000e-01, -3.425858577516529e-02
31, 5.617823419949195e-04, 1.512807640122254e-01, -1.941790859723071e-01, -1.098489176293189e-01, 3.887514829232580e-02, 7.657799720760000e-01, -3.573784883389101e-02
32, 6.709880575399192e-04, 1.603334595296728e-01, -2.040356470172333e-01, -1.067984046078254e-01, 4.114698683479928e-02, 7.522799968720000e-01, -3.720149280074100e-02
33, 7.714472940671915e-04, 1.694374267463400e-01, -2.139289113955218e-01, -1.036081229603642e-01, 4.343569758906773e-02, 7.385200262070000e-01, -3.864570687123409e-02
34, 8.116152728637201e-04, 1.785040065649151e-01, -2.237546966541985e-01, -1.002462262094520e-01, 4.572194047095471e-02, 7.245299816130000e-01, -4.006465703917154e-02
35, 7.679463816926162e-04, 1.875193262730667e-01, -2.334961522456007e-01, -9.672860471122265e-02, 4.798978406939666e-02, 7.103199958800001e-01, -4.145474617131805e-02
