"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
25	8.407700061800000e-01	-2.705331672263426e-02	9.668695330121448e-01	9.522760660269673e-01	1.244561471838710e-01	2.862861717627701e+00	9.543600967814300e-01	9.870619191073864e-01	-1.018747839700224e-01	8.449606707547871e-01	
26	8.290500044819999e-01	-2.856491083381835e-02	9.615165673857847e-01	9.547390460827360e-01	1.215497319348986e-01	2.849116558697517e+00	9.469716317278216e-01	9.848729224733919e-01	-1.183668934646839e-01	8.524426574561517e-01	
27	8.170099854470000e-01	-3.007687766462796e-02	9.563157972470150e-01	9.570289884572836e-01	1.185971168673853e-01	2.835746810367981e+00	9.398086271407495e-01	9.827387875911022e-01	-1.343557429893984e-01	8.597061174989444e-01	
28	8.046399950980000e-01	-3.158839480696186e-02	9.512026022245129e-01	9.591563623196286e-01	1.156241157331879e-01	2.822581938259181e+00	9.327864947879245e-01	9.806391326164168e-01	-1.500301455626685e-01	8.668233002445516e-01	
29	7.919700145720000e-01	-3.309380859042180e-02	9.461455609873036e-01	9.611534582145621e-01	1.126184269071512e-01	2.809545693826611e+00	9.258574311383372e-01	9.785570733663903e-01	-1.654968054947831e-01	8.738533932798107e-01	
30	7.790099978450000e-01	-3.458985724730083e-02	9.411286449888400e-01	9.630552996288179e-01	1.095687602195225e-01	2.796604323064113e+00	9.189919091162304e-01	9.764785228985652e-01	-1.808216314369857e-01	8.808452201691812e-01	
31	7.657799720760000e-01	-3.607192400281718e-02	9.361080813009426e-01	9.648540982906737e-01	1.064545861498557e-01	2.783637656797967e+00	9.121372814238621e-01	9.743931279347923e-01	-1.961221396788793e-01	8.878343600409635e-01	
32	7.522799968720000e-01	-3.753745125195956e-02	9.310498367980318e-01	9.665641876663490e-01	1.032644811203378e-01	2.770558695390411e+00	9.052461842253051e-01	9.722854228067236e-01	-2.115040530685154e-01	8.948729118551575e-01	
33	7.385200262070000e-01	-3.898259178428872e-02	9.259703679584671e-01	9.681832705333403e-01	9.999100811716391e-02	2.757410462573656e+00	8.983405642685404e-01	9.701612441974323e-01	-2.269183833291510e-01	9.019414824266362e-01	
34	7.245299816130000e-01	-4.040147406350589e-02	9.209209380392059e-01	9.696987231031194e-01	9.662015611487577e-02	2.744325145055183e+00	8.914906233584529e-01	9.680425175874328e-01	-2.422084300034534e-01	9.089676965453168e-01	
35	7.103199958800001e-01	-4.179046999531449e-02	9.159499160943843e-01	9.710984623425422e-01	9.316682033404751e-02	2.731427764077950e+00	8.847623022779763e-01	9.659505249485780e-01	-2.572270038438030e-01	9.158822662135422e-01	
36	6.958900094030001e-01	-4.314701748993480e-02	9.110760257949516e-01	9.723970198305634e-01	8.962742592707885e-02	2.718771661772714e+00	8.781761803378432e-01	9.638890229512935e-01	-2.719281688887429e-01	9.226744011352427e-01	
37	6.812700033190000e-01	-4.446592026284633e-02	9.063036970826751e-01	9.735755103095888e-01	8.602046094455963e-02	2.706362587005816e+00	8.717439982291409e-01	9.618674193156455e-01	-2.862857182385247e-01	9.293148400369210e-01	
38	6.664699912070000e-01	-4.574417779437413e-02	9.016443557263212e-01	9.746440362732114e-01	8.235230977263888e-02	2.694233243862550e+00	8.654781609910637e-01	9.598886251485226e-01	-3.002719620735186e-01	9.357958313104583e-01	
39	6.514999866490000e-01	-4.697901429117664e-02	8.971144506842453e-01	9.756179588047397e-01	7.863491718633694e-02	2.682431408111322e+00	8.593958337620119e-01	9.579556243983534e-01	-3.138485853526520e-01	9.421093809908270e-01	
40	6.363800168040000e-01	-4.816711934879284e-02	8.927137764303047e-01	9.764782015326582e-01	7.488151761934923e-02	2.670949984046833e+00	8.535033007587542e-01	9.560772145487200e-01	-3.270015608063521e-01	9.482285722151498e-01	
41	6.211299896240000e-01	-4.930558126295936e-02	8.884528829781969e-01	9.772597222852286e-01	7.109895610849844e-02	2.659827009206362e+00	8.478041762034638e-01	9.542477631019963e-01	-3.397228209744111e-01	9.541734912701906e-01	
