SENS_AOA=0.00376448447144838
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
53, 4.884215501681682e-02, 4.420013055491243e-01, -5.750148251504611e-01, -2.951957893240873e-02, 1.135745171291397e-01, 4.331099987030000e-01, -6.021438499361637e-02
54, -1.793896393693530e-02, 4.544031388779238e-01, -5.866127975939347e-01, -2.180555639117493e-02, 1.167226282662826e-01, 4.174999892710000e-01, -6.067668207934231e-02
55, -3.267209407996590e-02, 4.625155421721914e-01, -5.940120666357616e-01, -1.431506926145497e-02, 1.187013307409499e-01, 4.019699990750000e-01, -6.106600248719519e-02
56, -2.839692101239969e-02, 4.694965127267635e-01, -6.003693529536114e-01, -7.234944582857446e-03, 1.204304028364821e-01, 3.865399956700000e-01, -6.138044799896261e-02
57, -2.804187281754994e-02, 4.787015546787325e-01, -6.089370699104303e-01, 1.117030447393556e-04, 1.228205522561953e-01, 3.712300062180000e-01, -6.161826065621069e-02
58, -3.517652584780680e-02, 4.920232781800750e-01, -6.214587704175913e-01, 8.064221557470356e-03, 1.262654946259729e-01, 3.560400009160000e-01, -6.177799896546327e-02
59, -4.570292866730745e-02, 5.098560371590224e-01, -6.383012505872183e-01, 1.666076872590409e-02, 1.308520799706221e-01, 3.409900069240000e-01, -6.185791932219944e-02
60, -5.704518856097067e-02, 5.324454738118596e-01, -6.596887953771867e-01, 2.576111003124277e-02, 1.366107884902945e-01, 3.261100053790000e-01, -6.185648100177647e-02
61, -6.919167064113135e-02, 5.601679558733220e-01, -6.860136810128235e-01, 3.545085087094716e-02, 1.436836979092653e-01, 3.113999962810000e-01, -6.177231182821812e-02
62, -8.314673201429310e-02, 5.941456932496489e-01, -7.183717203092692e-01, 4.592161634307503e-02, 1.523361074946503e-01, 2.968699932100000e-01, -6.160394734845962e-02
63, -9.795699525529644e-02, 6.356885203665749e-01, -7.580338747766631e-01, 5.749092130658336e-02, 1.628845827318023e-01, 2.825500071050000e-01, -6.135033326263618e-02
64, -1.077665684309075e-01, 6.845354160307137e-01, -8.047235055913013e-01, 7.070425551511680e-02, 1.751787494182537e-01, 2.684499919410000e-01, -6.101038749180542e-02
65, -1.009370271819483e-01, 7.353621279420958e-01, -8.532456443398665e-01, 8.580914927502618e-02, 1.877868223271035e-01, 2.545700073240000e-01, -6.058272813253259e-02
66, -6.484874916130444e-02, 7.746770777039756e-01, -8.904979471315604e-01, 1.023502500926840e-01, 1.972703013391292e-01, 2.409400045870000e-01, -6.006697653660904e-02
67, 1.910115372754943e-03, 7.832206641532666e-01, -8.977499706350551e-01, 1.184058559666473e-01, 1.988912625653702e-01, 2.275699973110000e-01, -5.946241624801741e-02
68, 7.947296619094227e-02, 7.462110400988098e-01, -8.605250515191293e-01, 1.314130463894164e-01, 1.891537210714550e-01, 2.144699990750000e-01, -5.876841918892355e-02
69, 1.317037645186355e-01, 6.667156753504943e-01, -7.817037009017798e-01, 1.399739192468465e-01, 1.690836379495644e-01, 2.016600072380000e-01, -5.798510759597150e-02
70, 1.297905016794650e-01, 5.699090565593351e-01, -6.856925657848061e-01, 1.456376113202777e-01, 1.450256194821647e-01, 1.891400069000000e-01, -5.711157644069047e-02
71, 7.644893481966247e-02, 4.903951013169731e-01, -6.062705066778324e-01, 1.526068321873225e-01, 1.254854866303231e-01, 1.769299954180000e-01, -5.614835979499130e-02
72, 7.656881478546821e-03, 4.500313933654476e-01, -5.648851692837737e-01, 1.646624852404363e-01, 1.156440414471158e-01, 1.650400012730000e-01, -5.509557197132971e-02
73, -3.511009725130970e-02, 4.442389486975732e-01, -5.572023998405921e-01, 1.822247723726656e-01, 1.141963775382406e-01, 1.534900069240000e-01, -5.395451949699866e-02
74, -3.724677440367009e-02, 4.498337566093084e-01, -5.605451346111450e-01, 2.021026966829527e-01, 1.154030496159937e-01, 1.422899961470000e-01, -5.272596402186145e-02
75, -1.642410739851758e-02, 4.459320830295940e-01, -5.542067134077382e-01, 2.207289672077824e-01, 1.141892626930313e-01, 1.314399987460000e-01, -5.140960733974914e-02
76, 1.099974738110280e-03, 4.274846759609486e-01, -5.329892966979715e-01, 2.372514077971674e-01, 1.094410273962713e-01, 1.209499984980000e-01, -5.000625476291949e-02
77, 4.767793332650621e-03, 4.016349899754515e-01, -5.037926306833634e-01, 2.532753824419635e-01, 1.029076993267609e-01, 1.108499988910000e-01, -4.851997354035658e-02
78, 6.768476252374551e-04, 3.754532918357922e-01, -4.735620738276951e-01, 2.704374864321831e-01, 9.633076817115628e-02, 1.011300012470000e-01, -4.694943875453284e-02
